,baby,badge,ball,baseball,bell,bike,binoculars,blind,bubble,cape,cheese,cigar,coconut,crayon,dart,donkey,drill,earplug,foam,freezer,goose,guitar,hair,handle,hat,heater,hole,honey,hose,lantern,lego,magnet,mailbox,makeup,marble,microphone,motorcycle,muffin,painting,pants,pear,perfume,petal,pie,puppet,rabbit,raincoat,saddle,sand,satellite,seagull,seahorse,shield,ski,skin,spaghetti,stair,submarine,sunflower,swan,switch,table,tea,teapot,thorn,tie,toast,treadmill,triangle,velcro,yogurt,zipper
pie,0.15112114,0.21578681,0.15191281,0.19865954,0.17457354,0.18279302,0.2921865,0.15323657,0.18901539,0.18187368,0.14819825,0.1983847,0.17979848,0.20950651,0.19882894,0.19178301,0.17122632,0.2651301,0.20849526,0.20415711,0.20256531,0.22049665,0.17762172,0.19800913,0.20841932,0.17295814,0.15176606,0.157211,0.19986266,0.2598573,0.18489587,0.18367177,0.22894013,0.17086923,0.24895585,0.20712227,0.20950234,0.19921029,0.17907143,0.18391752,0.19991481,0.24791837,0.1812262,0.0,0.18775964,0.20589244,0.26615363,0.19971347,0.18073106,0.18675804,0.23883843,0.32086527,0.18942463,0.18743032,0.14730215,0.17033195,0.25181597,0.32918632,0.23542184,0.2001177,0.18412596,0.17640018,0.14252412,0.20851249,0.19827998,0.2031995,0.15581393,0.24120134,0.17408526,0.1887958,0.18653661,0.22691
puppet,0.16021359,0.22636425,0.17133707,0.21757948,0.18381226,0.21650672,0.2819299,0.14682269,0.19482398,0.18838882,0.1795739,0.25387663,0.20232773,0.20750791,0.22554994,0.18994045,0.17688888,0.24543828,0.2300353,0.19369924,0.20808268,0.25023752,0.19094276,0.17357647,0.25218534,0.15659904,0.2020753,0.18070662,0.22233456,0.25344402,0.23511732,0.16373217,0.22809339,0.18373978,0.25994778,0.21781361,0.21653712,0.21919394,0.18425333,0.20135379,0.24229062,0.2579311,0.23968124,0.18775964,0.0,0.18535614,0.24396133,0.21970713,0.22324312,0.18257523,0.2511735,0.30747676,0.2049104,0.22564298,0.17661357,0.2399224,0.25551665,0.32752502,0.2640255,0.21826887,0.18142855,0.21298683,0.21418518,0.20108467,0.21029449,0.23450637,0.20913106,0.2740196,0.19957638,0.19358182,0.22385108,0.1764853
rabbit,0.148354,0.23809743,0.178514,0.21166027,0.1936574,0.20119601,0.30588627,0.17047703,0.18999755,0.19833803,0.19985127,0.25673878,0.1967144,0.20136356,0.20127255,0.13314474,0.20045269,0.20534456,0.21005225,0.20109975,0.18221164,0.24526507,0.17603266,0.18031693,0.2441876,0.17781883,0.17705667,0.18126553,0.21326745,0.27617395,0.26123637,0.18725926,0.22484678,0.20766854,0.22650921,0.23878324,0.2135706,0.22722244,0.21402496,0.21568483,0.2186864,0.25430107,0.25037038,0.20589244,0.18535614,0.0,0.24355316,0.18672419,0.20885336,0.16825533,0.21194041,0.27348006,0.20096767,0.23848408,0.16248113,0.2572521,0.24214613,0.27811486,0.2599758,0.15654695,0.18158579,0.20147526,0.23673785,0.21294105,0.18986213,0.26165164,0.2115649,0.25215995,0.20554912,0.21266365,0.20065528,0.21708375
raincoat,0.21223855,0.27016854,0.23955154,0.26838338,0.22914529,0.2631644,0.29537463,0.21740961,0.24301153,0.18458456,0.23525256,0.29233432,0.26904404,0.24047887,0.24733877,0.25473785,0.23301733,0.26841855,0.2704144,0.26292896,0.27150643,0.29146218,0.2381661,0.26973027,0.25792682,0.22454542,0.2791648,0.23137808,0.27309227,0.2758745,0.32211202,0.25541472,0.27450365,0.24808604,0.3112787,0.27221859,0.26129818,0.27197027,0.25100052,0.23036659,0.27657396,0.31251943,0.30368233,0.26615363,0.24396133,0.24355316,0.0,0.26681632,0.27239394,0.23401976,0.31145418,0.34319025,0.24677467,0.2955441,0.21018338,0.311314,0.29538536,0.32577485,0.3051046,0.2841885,0.25815064,0.2695148,0.28319073,0.277678,0.28146172,0.2895,0.27286422,0.2868638,0.2486676,0.26862282,0.27978778,0.2559029
saddle,0.16541791,0.20228171,0.17442644,0.21991575,0.16739565,0.16557944,0.26963913,0.1817553,0.19554353,0.15567243,0.19321501,0.25648975,0.21380687,0.20972055,0.23861921,0.1831876,0.17426205,0.21782339,0.20841718,0.23387271,0.21101677,0.21801353,0.17841613,0.12892699,0.20902038,0.16652006,0.16149127,0.18428636,0.20872378,0.28649247,0.276887,0.1879574,0.20613945,0.21418202,0.24566674,0.2074207,0.1691823,0.24843103,0.1995405,0.20050263,0.22235483,0.2634852,0.25478745,0.19971347,0.21970713,0.18672419,0.26681632,0.0,0.19833302,0.1543042,0.2338965,0.26840097,0.15822518,0.24157625,0.16931033,0.26936984,0.20080733,0.31455082,0.27330506,0.19114739,0.17017937,0.16051328,0.22847807,0.21006376,0.19925815,0.21953112,0.21619403,0.22590005,0.19161367,0.20523095,0.23587549,0.21504593
sand,0.15219176,0.24716508,0.17393816,0.20202136,0.18506706,0.21272373,0.30065298,0.15300798,0.21519852,0.18260133,0.19320965,0.24319339,0.19553185,0.19516307,0.23475742,0.19391418,0.17313892,0.2497763,0.18969655,0.22184432,0.22874618,0.25147867,0.18861878,0.1838811,0.24502695,0.17162633,0.17965984,0.15922749,0.22114438,0.27089298,0.21532106,0.20165622,0.23786914,0.19183576,0.25030613,0.23492241,0.22224152,0.23810947,0.18864214,0.19488811,0.25305414,0.2809053,0.23951793,0.18073106,0.22324312,0.20885336,0.27239394,0.19833302,0.0,0.19413888,0.2336725,0.3067001,0.20661837,0.21347249,0.1423068,0.24686551,0.25138032,0.33244348,0.25601304,0.2086966,0.17853832,0.21202803,0.20449924,0.2569908,0.20488453,0.2562865,0.19433916,0.27350885,0.1948061,0.19803232,0.22031057,0.23927206
satellite,0.1329,0.21133661,0.13525951,0.18670279,0.14267516,0.1995399,0.28961885,0.15851939,0.16985047,0.17284662,0.1630789,0.25387335,0.18829179,0.18813336,0.2044462,0.17553437,0.14596057,0.21847165,0.2144301,0.19247723,0.20526272,0.23393464,0.18304688,0.1492601,0.22864962,0.14029652,0.15147662,0.15632725,0.22028553,0.24606574,0.24056566,0.1611414,0.1965611,0.18447638,0.20928538,0.19855434,0.19066906,0.213781,0.18216062,0.22117001,0.24597698,0.24361944,0.24341404,0.18675804,0.18257523,0.16825533,0.23401976,0.1543042,0.19413888,0.0,0.21835434,0.2775758,0.15873653,0.22141278,0.14966905,0.23182982,0.22007322,0.272511,0.23374408,0.2046727,0.15058464,0.19047421,0.22308928,0.21901321,0.17612231,0.23692626,0.19558895,0.22093534,0.15963376,0.18388581,0.1979891,0.21327466
seagull,0.22729164,0.2872272,0.23790777,0.27291352,0.23655742,0.26029676,0.34044117,0.23540682,0.2599243,0.23059869,0.26175815,0.29828608,0.2407676,0.2642827,0.28535277,0.25117773,0.2400952,0.28868878,0.26951808,0.27038658,0.1988585,0.28532982,0.24071634,0.23667228,0.29071152,0.23124248,0.257811,0.25943923,0.29384494,0.32901853,0.2651106,0.24091429,0.2713915,0.2773767,0.29225242,0.27832025,0.26237136,0.29880017,0.2638291,0.2941476,0.2856058,0.34256536,0.27916968,0.23883843,0.2511735,0.21194041,0.31145418,0.2338965,0.2336725,0.21835434,0.0,0.30369496,0.2754014,0.2628156,0.22566193,0.27467382,0.28110957,0.35098708,0.27781177,0.16429293,0.2564299,0.2579882,0.25467455,0.2449944,0.270782,0.31166166,0.25540066,0.2803384,0.22725827,0.26939046,0.24185324,0.29335648
seahorse,0.27524066,0.33498347,0.29840374,0.33493054,0.28880227,0.3059317,0.39159966,0.31162453,0.29458058,0.31056023,0.29802,0.37495685,0.31300914,0.31991136,0.34374273,0.26707637,0.29270363,0.32316732,0.31517804,0.32506526,0.30852127,0.34904695,0.2991835,0.27897745,0.35631722,0.2898097,0.27395415,0.269109,0.28788602,0.3403914,0.33700538,0.31967878,0.34643507,0.34081858,0.3553062,0.3154474,0.30146515,0.35397053,0.3290407,0.32256627,0.34221226,0.3717543,0.37999958,0.32086527,0.30747676,0.27348006,0.34319025,0.26840097,0.3067001,0.2775758,0.30369496,0.0,0.32754087,0.34307218,0.29563326,0.35870206,0.3246454,0.36182338,0.32066292,0.27376282,0.2959026,0.32748246,0.34277105,0.33295906,0.28440595,0.35195005,0.33694184,0.3444916,0.31908506,0.31304723,0.3350715,0.32524115
shield,0.15882528,0.16955489,0.15020025,0.21137637,0.14428473,0.20521057,0.2999366,0.14748752,0.18129486,0.16028547,0.17680132,0.26099885,0.19469166,0.21953773,0.22005135,0.20559001,0.16860676,0.24541235,0.21811354,0.19180655,0.22380674,0.24718845,0.18844157,0.15047312,0.22345102,0.15605831,0.1582231,0.17126763,0.2330491,0.2537384,0.26579112,0.16046762,0.20848095,0.205688,0.23310369,0.22610474,0.19971251,0.24493861,0.1784302,0.21385086,0.23961389,0.24749815,0.2262801,0.18942463,0.2049104,0.20096767,0.24677467,0.15822518,0.20661837,0.15873653,0.2754014,0.32754087,0.0,0.24202085,0.1497612,0.27890217,0.21619475,0.3038323,0.23802364,0.20832205,0.15767753,0.17496932,0.2146374,0.20959067,0.17222631,0.24559331,0.18819523,0.22749192,0.17704523,0.19417775,0.21622777,0.2233355
ski,0.19608808,0.2472347,0.21290678,0.22055542,0.22190619,0.19779164,0.3065008,0.19178128,0.24236691,0.22003376,0.21195483,0.22239631,0.21871269,0.23089612,0.2065438,0.21947312,0.19260359,0.29711372,0.22377038,0.23951566,0.2704935,0.20551336,0.211846,0.22672349,0.22923672,0.20885462,0.2169944,0.20955944,0.2517928,0.27449065,0.20288551,0.2274003,0.26626968,0.22938222,0.2928713,0.22616321,0.22387552,0.2655745,0.21324766,0.23149574,0.29152858,0.3070094,0.20475173,0.18743032,0.22564298,0.23848408,0.2955441,0.24157625,0.21347249,0.22141278,0.2628156,0.34307218,0.24202085,0.0,0.16576004,0.16751277,0.24847472,0.33888853,0.29350603,0.25692487,0.22685742,0.23006117,0.17369986,0.29253018,0.24542081,0.20212603,0.21421134,0.25818515,0.21856141,0.24324149,0.23898494,0.23285282
skin,0.10061669,0.19574606,0.14406443,0.17956185,0.15949726,0.16120511,0.27090162,0.11009729,0.17261171,0.14957309,0.14429855,0.20500422,0.16558969,0.1736328,0.1911521,0.1763829,0.13357633,0.19744241,0.15363812,0.16943508,0.21038574,0.20333767,0.1326375,0.15919691,0.20501912,0.12614691,0.14400804,0.11164069,0.19986814,0.23752487,0.20772374,0.16701734,0.20661056,0.13145119,0.20434338,0.19285792,0.17652607,0.18568897,0.143556,0.16891879,0.2266661,0.22202611,0.21656287,0.14730215,0.17661357,0.16248113,0.21018338,0.16931033,0.1423068,0.14966905,0.22566193,0.29563326,0.1497612,0.16576004,0.0,0.22787845,0.19573963,0.28673184,0.215738,0.18499547,0.14177227,0.17395282,0.17300558,0.21840686,0.15379763,0.21865612,0.16507041,0.21287715,0.17937642,0.1705904,0.17308426,0.20677656
spaghetti,0.21889627,0.28289366,0.21330535,0.26214468,0.25216997,0.2538805,0.33196378,0.22063804,0.24968243,0.2595734,0.2044028,0.22065258,0.23846126,0.25712168,0.23344976,0.2723645,0.23272228,0.3044815,0.28898782,0.28485757,0.31607342,0.2417196,0.21878451,0.26424235,0.25685096,0.22212851,0.25586212,0.21802676,0.24860191,0.2685218,0.20051968,0.21995354,0.30054677,0.2676561,0.32345885,0.22951484,0.265356,0.27169108,0.23727751,0.2649436,0.31013286,0.3249578,0.21474504,0.17033195,0.2399224,0.2572521,0.311314,0.26936984,0.24686551,0.23182982,0.27467382,0.35870206,0.27890217,0.16751277,0.22787845,0.0,0.30576527,0.36357307,0.27148533,0.30417597,0.23724973,0.25688684,0.16642797,0.26573128,0.2697636,0.245134,0.20603758,0.29114676,0.2374394,0.26160955,0.23863816,0.26434064
